,name,age,height,position,current club,19/20 games,19/20 goals,19/20 assists,19/20 minutes
315,James Tomkins,30,192.0,W,Crystal Palace,,,,
316,Gary Cahill,33,193.0,W,Crystal Palace,3.0,0.0,0.0,224.0
317,Jairo Riedewald,22,182.0,W,Crystal Palace,1.0,0.0,0.0,90.0
318,Scott Dann,32,194.0,W,Crystal Palace,3.0,0.0,0.0,270.0
319,Martin Kelly,29,191.0,W,Crystal Palace,5.0,0.0,0.0,395.0
320,Patrick van Aanholt,29,176.0,W,Crystal Palace,4.0,1.0,0.0,360.0
321,Joel Ward,29,186.0,W,Crystal Palace,4.0,0.0,0.0,360.0
322,Luka Milivojevic,28,186.0,W,Crystal Palace,4.0,0.0,0.0,360.0
323,Cheikhou KouyatÃ©,29,189.0,W,Crystal Palace,2.0,0.0,0.0,173.0
324,Víctor Camarasa,25,183.0,W,Crystal Palace,1.0,0.0,0.0,90.0
325,James McArthur,31,178.0,W,Crystal Palace,4.0,0.0,0.0,344.0
326,James McCarthy,28,180.0,W,Crystal Palace,4.0,0.0,0.0,137.0
327,Jeffrey Schlupp,26,178.0,W,Crystal Palace,4.0,0.0,2.0,214.0
328,Max Meyer,23,173.0,W,Crystal Palace,3.0,0.0,0.0,203.0
329,Wilfried Zaha,26,180.0,W,Crystal Palace,5.0,0.0,0.0,322.0
330,Andros Townsend,28,181.0,W,Crystal Palace,5.0,0.0,0.0,246.0
331,Christian Benteke,28,190.0,CF,Crystal Palace,5.0,0.0,0.0,281.0
332,Jordan Ayew,27,182.0,CF,Crystal Palace,4.0,2.0,0.0,244.0
333,Connor Wickham,26,189.0,CF,Crystal Palace,4.0,0.0,0.0,86.0
334,James Tarkowski,26,185.0,W,Burnley FC,4.0,0.0,0.0,360.0
